#OTU_ID	15M	15T	1M	1T	4M	4T	52M	52T	56M	56T	58M	58T	Blank	JP-CFB-09M	JP-CFB-09T	JP-CFB-11M	JP-CFB-11T	JP-CFB-17M	JP-CFB-17T	JP-CFB-23M	JP-CFB-23T	JP-CFB-30M	JP-CFB-30T	JP-CFB-53M	JP-CFB-53T	JP-CFB-Blank1
3d2b88c512046cda7a4749c99779df44	136.0	83.0	127.0	0.0	97.0	0.0	103.0	0.0	94.0	69.0	149.0	90.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	12.0	49.0	25.0	28.0	20.0	0.0	0.0
5c93c1eb9477b12890b7440c42af7ff1	0.0	101.0	208.0	299.0	0.0	40.0	0.0	258.0	61.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	41.0	0.0	32.0	0.0
780b18ad1f67c04f80ecd7834e4fddc1	97.0	0.0	483.0	0.0	105.0	68.0	72.0	0.0	69.0	0.0	83.0	26.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	36.0	34.0	0.0	0.0	0.0	0.0	0.0
98b8b33886d4fbe91d4532eff725693c	171.0	0.0	319.0	0.0	149.0	0.0	240.0	0.0	0.0	0.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0
df59697ad6195ca16170502c23cd0506	107.0	0.0	403.0	0.0	71.0	0.0	111.0	51.0	37.0	0.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	24.0	21.0	104.0	0.0	19.0	0.0	0.0	0.0
963c26dd9b3bc6ef13622390a61dcae9	62.0	0.0	0.0	458.0	119.0	140.0	0.0	0.0	63.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0
5e75b29d26c7c21886205ffab629e17d	0.0	0.0	0.0	125.0	217.0	275.0	0.0	0.0	102.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	56.0	0.0	0.0	0.0	25.0	0.0	70.0	22.0	0.0
13786966bbcd62266a68cc0789d6d9c9	187.0	24.0	212.0	0.0	77.0	21.0	166.0	33.0	42.0	0.0	94.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	36.0	86.0	0.0	0.0	0.0	0.0	0.0
cc6c851ea99f5f3baf7a59798d4e76ee	68.0	0.0	151.0	0.0	91.0	44.0	102.0	0.0	88.0	0.0	115.0	92.0	0.0	35.0	41.0	34.0	0.0	0.0	0.0	0.0	41.0	47.0	74.0	26.0	0.0	0.0
32d41f4df550f92224147eff98273fa3	0.0	134.0	0.0	59.0	56.0	124.0	48.0	73.0	92.0	75.0	121.0	166.0	0.0	0.0	34.0	0.0	13.0	34.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0
30504e424784d80c50441a3f084a7542	0.0	79.0	0.0	263.0	67.0	0.0	57.0	161.0	105.0	119.0	49.0	30.0	0.0	0.0	0.0	0.0	0.0	46.0	27.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0
9643cfa0e53e99e2cd8bc2ba75f104cb	56.0	0.0	127.0	0.0	132.0	0.0	113.0	0.0	81.0	57.0	162.0	99.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	154.0	0.0	0.0	0.0	0.0	0.0
aab9cfa73c3af7610e268f72a8fad759	0.0	0.0	40.0	136.0	97.0	310.0	22.0	21.0	77.0	42.0	217.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
